task_id,system,failure_type_in_handoff,last_verified_state_in_handoff,annotator_A_correct,annotator_B_correct,adjudicated_correct
L3_06,self_reflection,s_HE,step 2,FALSE,FALSE,FALSE
L3_07,self_reflection,s_HE,step 2,FALSE,FALSE,FALSE
L3_08,self_reflection,s_HE,step 2,FALSE,FALSE,FALSE
L3_09,self_reflection,s_HE,step 2,FALSE,FALSE,FALSE
L3_10,self_reflection,s_HE,step 2,FALSE,FALSE,FALSE
L3_11,self_reflection,s_HE,step 2,FALSE,FALSE,FALSE
L3_12,self_reflection,s_HE,step 2,FALSE,FALSE,FALSE
L3_13,self_reflection,s_HE,step 2,FALSE,FALSE,FALSE
L3_14,self_reflection,s_HE,step 2,FALSE,FALSE,FALSE
L3_15,self_reflection,s_HE,step 2,FALSE,FALSE,FALSE
L4_01,self_reflection,s_HE,step 2,FALSE,FALSE,FALSE
L4_02,self_reflection,s_HE,step 2,FALSE,FALSE,FALSE
L4_03,self_reflection,s_HE,step 2,FALSE,FALSE,FALSE
L4_04,self_reflection,s_HE,step 2,FALSE,FALSE,FALSE
L4_05,self_reflection,s_HE,step 2,FALSE,FALSE,FALSE
L4_06,self_reflection,s_HE,step 2,FALSE,FALSE,FALSE
L4_07,self_reflection,s_HE,step 2,FALSE,FALSE,FALSE
L4_08,self_reflection,s_HE,step 2,FALSE,FALSE,FALSE
L4_09,self_reflection,s_HE,step 2,FALSE,FALSE,FALSE
L4_10,self_reflection,s_HE,step 2,FALSE,FALSE,FALSE
L3_01,TRACE,s_HE,step 2,FALSE,FALSE,FALSE
L3_02,TRACE,s_HE,step 2,FALSE,FALSE,FALSE
L3_03,TRACE,s_HE,step 2,FALSE,FALSE,FALSE
L3_04,TRACE,s_HE,step 2,FALSE,FALSE,FALSE
L3_05,TRACE,s_HE,step 2,FALSE,FALSE,FALSE
L3_06,TRACE,s_HE,step 2,FALSE,FALSE,FALSE
L3_07,TRACE,s_HE,step 2,FALSE,FALSE,FALSE
L3_08,TRACE,s_HE,step 2,FALSE,FALSE,FALSE
L3_09,TRACE,s_HE,step 2,FALSE,FALSE,FALSE
L3_10,TRACE,s_HE,step 2,FALSE,FALSE,FALSE
L3_11,TRACE,s_HE,step 2,FALSE,FALSE,FALSE
L3_12,TRACE,s_HE,step 2,FALSE,FALSE,FALSE
L3_13,TRACE,s_HE,step 2,FALSE,FALSE,FALSE
L3_14,TRACE,s_HE,step 2,FALSE,FALSE,FALSE
L3_15,TRACE,s_HE,step 2,FALSE,FALSE,FALSE
L4_01,TRACE,s_HE,step 2,FALSE,FALSE,FALSE
L4_02,TRACE,s_HE,step 2,FALSE,FALSE,FALSE
L4_03,TRACE,s_HE,step 2,FALSE,FALSE,FALSE
L4_04,TRACE,s_HE,step 2,FALSE,FALSE,FALSE
L4_05,TRACE,s_HE,step 2,FALSE,FALSE,FALSE
L4_06,TRACE,s_HE,step 2,FALSE,FALSE,FALSE
L4_07,TRACE,s_HE,step 2,FALSE,FALSE,FALSE
L4_08,TRACE,s_HE,step 2,FALSE,FALSE,FALSE
L4_09,TRACE,s_HE,step 2,FALSE,FALSE,FALSE
L4_10,TRACE,s_HE,step 2,FALSE,FALSE,FALSE
L3_01,vanilla_react,s_HE,step 2,FALSE,FALSE,FALSE
L3_02,vanilla_react,s_HE,step 2,FALSE,FALSE,FALSE
L3_03,vanilla_react,s_HE,step 2,FALSE,FALSE,FALSE
L3_04,vanilla_react,s_HE,step 2,FALSE,FALSE,FALSE
L3_05,vanilla_react,s_HE,step 2,FALSE,TRUE,FALSE
L3_06,vanilla_react,s_HE,step 2,FALSE,TRUE,FALSE
L3_07,vanilla_react,s_HE,step 2,FALSE,TRUE,FALSE
L3_08,vanilla_react,s_HE,step 2,FALSE,TRUE,FALSE
L3_09,vanilla_react,s_HE,step 2,FALSE,TRUE,FALSE
L3_10,vanilla_react,s_HE,step 2,FALSE,TRUE,FALSE
L3_11,vanilla_react,s_HE,step 2,FALSE,TRUE,FALSE
L3_12,vanilla_react,s_HE,step 2,FALSE,TRUE,FALSE
L3_13,vanilla_react,s_HE,step 2,FALSE,TRUE,FALSE
